Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9882352941176471,0.9901960784313726,0.9901960784313725,0.9882623044913186,0.37420225143432617
RandomForestClassifier,0.9647058823529412,0.9656862745098039,0.9656862745098039,0.9647869134739561,0.7337300777435303
XGBClassifier,0.9529411764705882,0.9558823529411764,0.9558823529411765,0.9531428571428572,3.074970245361328
SVC,0.9529411764705882,0.9509803921568627,0.9509803921568628,0.9529411764705882,0.4777498245239258
NuSVC,0.9529411764705882,0.9509803921568627,0.9509803921568628,0.9529411764705882,0.510500431060791
LGBMClassifier,0.9411764705882353,0.946078431372549,0.9460784313725491,0.9415279556124627,3.442852735519409
BaggingClassifier,0.9176470588235294,0.9117647058823529,0.9117647058823529,0.9174322561947543,3.2231969833374023
DecisionTreeClassifier,0.8823529411764706,0.892156862745098,0.892156862745098,0.8834459459459457,0.6031413078308105
CalibratedClassifierCV,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8828571428571429,8.606754064559937
SGDClassifier,0.8705882352941177,0.8774509803921569,0.8774509803921569,0.8716847902838581,0.18589282035827637
AdaBoostClassifier,0.8823529411764706,0.8774509803921569,0.8774509803921569,0.8823529411764706,5.896981239318848
NearestCentroid,0.8705882352941177,0.8676470588235294,0.8676470588235294,0.8708853494045057,0.18122196197509766
ExtraTreeClassifier,0.8705882352941177,0.8676470588235294,0.8676470588235294,0.8708853494045057,0.15375471115112305
LogisticRegression,0.8588235294117647,0.8627450980392157,0.8627450980392156,0.8598639455782312,0.4420151710510254
Perceptron,0.8470588235294118,0.857843137254902,0.8578431372549019,0.8485614035087718,0.2026386260986328
LinearSVC,0.8352941176470589,0.8431372549019608,0.8431372549019608,0.8368243243243243,2.314380645751953
PassiveAggressiveClassifier,0.8117647058823529,0.8235294117647058,0.8235294117647058,0.8136618141097424,0.374600887298584
RidgeClassifierCV,0.8,0.8137254901960784,0.8137254901960784,0.802010892333473,0.2665443420410156
KNeighborsClassifier,0.788235294117647,0.8088235294117647,0.8088235294117646,0.79,0.18493127822875977
RidgeClassifier,0.788235294117647,0.803921568627451,0.8039215686274509,0.7903010033444817,0.23697161674499512
BernoulliNB,0.8,0.7892156862745099,0.7892156862745098,0.799478336472975,0.2122797966003418
GaussianNB,0.6705882352941176,0.7205882352941176,0.7205882352941176,0.6597984322508399,0.189483642578125
LinearDiscriminantAnalysis,0.6352941176470588,0.642156862745098,0.6421568627450982,0.638961038961039,0.8286533355712891
LabelSpreading,0.6352941176470588,0.5441176470588235,0.5441176470588235,0.5250152408047145,0.21271204948425293
LabelPropagation,0.6352941176470588,0.5441176470588235,0.5441176470588235,0.5250152408047145,0.2179713249206543
QuadraticDiscriminantAnalysis,0.4823529411764706,0.5196078431372549,0.5196078431372549,0.47023411371237456,0.6471915245056152
DummyClassifier,0.6,0.5,0.5,0.4499999999999999,0.16080951690673828
